#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
Army Men - Air Attack 2 (USA);Army Men - Air Attack 2 (USA);Sony PlayStation;;2000;3DO;Action;2;;;;;;;;
Army Men - Green Rogue (USA);Army Men - Green Rogue (USA);Sony PlayStation;;2001;3DO;Action;2;;;;;;;;
Army Men - Sarge's Heroes (USA);Army Men - Sarge's Heroes (USA);Sony PlayStation;;2000;3DO;Action;2;;;;;;;;
Army Men - Sarge's Heroes 2 (USA);Army Men - Sarge's Heroes 2 (USA);Sony PlayStation;;2000;3DO;Action;2;;;;;;;;
Army Men - World War (USA);Army Men - World War (USA);Sony PlayStation;;2000;3DO;Action;2;;;;;;;;
Army Men - World War - Final Front (USA);Army Men - World War - Final Front (USA);Sony PlayStation;;2001;3DO;Action;2;;;;;;;;
"Army Men - World War - Land, Sea, Air (USA)";"Army Men - World War - Land, Sea, Air (USA)";Sony PlayStation;;2000;3DO;Action;2;;;;;;;;
Army Men - World War - Team Assault (USA);Army Men - World War - Team Assault (USA);Sony PlayStation;;2001;3DO;Action;2;;;;;;;;
Army Men 3D (USA);Army Men 3D (USA);Sony PlayStation;;1999;3DO;Action;2;;;;;;;;
Arthur! Ready to Race (USA);Arthur! Ready to Race (USA);Sony PlayStation;;2000;Mattel;Driving;4;;;;;;;;
Assault - Retribution (USA);Assault - Retribution (USA);Sony PlayStation;;1998;Midway;Action;2;;;;;;;;
Assault Rigs (USA);Assault Rigs (USA);Sony PlayStation;;1996;Psygnosis;Shooter;1;;;;;;;;
Asterix & Obelix - Take on Caesar (Europe);Asterix & Obelix - Take on Caesar (Europe);Sony PlayStation;;2000;Cryo Interactive;Action;2;;;;;;;;
"Asterix (Europe) (En,Fr,De,Nl)";Asterix (Europe);Sony PlayStation;;1999;Atari;Action;4;;;;;;;;
Asterix (Europe);Asterix (Europe);Sony PlayStation;;1999;Atari;Action;4;;;;;;;;
"Asterix - Mega Madness (Europe) (En,Fr,De,Es,It,Nl)";Asterix - Mega Madness (Europe);Sony PlayStation;;2001;UDS;Party;4;;;;;;;;
Asterix - Mega Madness (Europe);Asterix - Mega Madness (Europe);Sony PlayStation;;2001;UDS;Party;4;;;;;;;;
Asteroids (USA);Asteroids (USA);Sony PlayStation;;1998;Activision;Shooter;2;;;;;;;;
Atari Anniversary Edition Redux (USA);Atari Anniversary Edition Redux (USA);Sony PlayStation;;2001;Infogrames;Miscellaneous;2;;;;;;;;
Atlantis - The Lost Continent (Europe);Atlantis - The Lost Continent (Europe);Sony PlayStation;;2003;Phoenix Games;Puzzle;1;;;;;;;;
Atlantis - The Lost Tales (Europe) (Disc 1);Atlantis - The Lost Tales (Europe) (Disc 1);Sony PlayStation;;1998;Cryo Interactive;Adventure;1;;;;;;;;
Atlantis - The Lost Tales (Europe) (Disc 2);Atlantis - The Lost Tales (Europe) (Disc 2);Sony PlayStation;;1998;Cryo Interactive;Adventure;1;;;;;;;;
Atlantis - The Lost Tales (Europe) (Disc 3);Atlantis - The Lost Tales (Europe) (Disc 3);Sony PlayStation;;1998;Cryo Interactive;Adventure;1;;;;;;;;
"Attack of the Saucerman (Europe) (En,Fr,De,Es,It)";Attack of the Saucerman (Europe);Sony PlayStation;;1999;SCEE;Shooter;1;;;;;;;;
Attack of the Saucerman (Europe);Attack of the Saucerman (Europe);Sony PlayStation;;1999;SCEE;Shooter;1;;;;;;;;
Austin Powers Pinball (USA);Austin Powers Pinball (USA);Sony PlayStation;;2002;Gotham Games;Pinball;4;;;;;;;;
Auto Destruct (USA);Auto Destruct (USA);Sony PlayStation;;1998;Electronic Arts;Action;1;;;;;;;;
Autobahn Raser II (Germany);Autobahn Raser II (Germany);Sony PlayStation;;1998;Davilex;Driving;1;;;;;;;;
