#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
Nuclear Strike 64 (USA);Nuclear Strike 64 (USA);Nintendo 64;;1999;THQ;Action;2;;;;;;;;
Off Road Challenge (USA);Off Road Challenge (USA);Nintendo 64;;1998;Midway;Driving;1;;;;;;;;
Ogre Battle 64 - Person of Lordly Caliber (USA) (Rev A);Ogre Battle 64 - Person of Lordly Caliber (USA) (Rev A);Nintendo 64;;2000;Atlus Co.;Strategy;4;;;;;;;;
Olympic Hockey 98 (USA);Olympic Hockey 98 (USA);Nintendo 64;;1998;Midway;Hockey/Sports;4;;;;;;;;
PGA European Tour (USA);PGA European Tour (USA);Nintendo 64;;2000;Infogrames;Golf/Sports;1;;;;;;;;
Paper Mario (USA);Paper Mario (USA);Nintendo 64;;2001;Nintendo;Role-Playing;1;;;;;;;;
Paperboy (USA);Paperboy (USA);Nintendo 64;;1999;Midway;Action;4;;;;;;;;
Penny Racers (USA);Penny Racers (USA);Nintendo 64;;1999;THQ;Driving;4;;;;;;;;
Perfect Dark (USA) (Rev A);Perfect Dark (USA) (Rev A);Nintendo 64;;2000;Nintendo;Shooter;1;;;;;;;;
Pilotwings 64 (USA);Pilotwings 64 (USA);Nintendo 64;;1996;Nintendo;Simulation;2;;;;;;;;
Pokemon Puzzle League (USA);Pokemon Puzzle League (USA);Nintendo 64;;2000;Nintendo;Puzzle;1;;;;;;;;
Pokemon Snap (USA);Pokemon Snap (USA);Nintendo 64;;1999;Nintendo;Action;4;;;;;;;;
Pokemon Stadium (USA) (Rev A);Pokemon Stadium (USA) (Rev A);Nintendo 64;;2000;Nintendo;Strategy;4;;;;;;;;
Pokemon Stadium 2 (USA);Pokemon Stadium 2 (USA);Nintendo 64;;2001;Nintendo;Strategy;4;;;;;;;;
Polaris SnoCross (USA);Polaris SnoCross (USA);Nintendo 64;;2000;Vatical Entertainment;Water;;;;;;;;;
Power Rangers - Lightspeed Rescue (USA);Power Rangers - Lightspeed Rescue (USA);Nintendo 64;;2000;THQ;Action;2;;;;;;;;
"Powerpuff Girls, The - Chemical X-Traction (USA)";"Powerpuff Girls, The - Chemical X-Traction (USA)";Nintendo 64;;2001;Bam Entertainment;Action;;;;;;;;;
Premier Manager 64 (Europe);Premier Manager 64 (Europe);Nintendo 64;;1999;Gremlin Interactive;Soccer/Sports;2;;;;;;;;
Quake 64 (USA);Quake 64 (USA);Nintendo 64;;1998;Midway;Shooter;4;;;;;;;;
Quake II (USA);Quake II (USA);Nintendo 64;;1999;Activision;Shooter;1;;;;;;;;
Quest 64 (USA);Quest 64 (USA);Nintendo 64;;1998;THQ;Role-Playing;4;;;;;;;;
RR64 - Ridge Racer 64 (USA);RR64 - Ridge Racer 64 (USA);Nintendo 64;;2000;Nintendo;Driving;2;;;;;;;;
Rakuga Kids (Europe);Rakuga Kids (Europe);Nintendo 64;;1998;Konami;Fighter;4;;;;;;;;
Rally Challenge 2000 (USA);Rally Challenge 2000 (USA);Nintendo 64;;2000;SouthPeak Games;Driving;3;;;;;;;;
Rampage - World Tour (USA);Rampage - World Tour (USA);Nintendo 64;;1998;Midway;Action;3;;;;;;;;
Rampage 2 - Universal Tour (USA);Rampage 2 - Universal Tour (USA);Nintendo 64;;1999;Midway;Action;4;;;;;;;;
"Rat Attack! (USA) (En,Fr,De,Es,It,Nl)";"Rat Attack! (USA) (En,Fr,De,Es,It,Nl)";Nintendo 64;;2000;Mindscape Inc.;Puzzle;1;;;;;;;;
"Rayman 2 - The Great Escape (USA) (En,Fr,De,Es,It)";"Rayman 2 - The Great Escape (USA) (En,Fr,De,Es,It)";Nintendo 64;;1999;Ubisoft;Platform;2;;;;;;;;
Razor Freestyle Scooter (USA);Razor Freestyle Scooter (USA);Nintendo 64;;2001;Crave;Sports;4;;;;;;;;
Re-Volt (USA);Re-Volt (USA);Nintendo 64;;1999;Acclaim;Driving;2;;;;;;;;
Ready 2 Rumble Boxing (USA);Ready 2 Rumble Boxing (USA);Nintendo 64;;1999;Midway;Boxing/Sports;2;;;;;;;;
Ready 2 Rumble Boxing - Round 2 (USA);Ready 2 Rumble Boxing - Round 2 (USA);Nintendo 64;;2000;Midway;Boxing/Sports;1;;;;;;;;
Resident Evil 2 (USA) (Rev A);Resident Evil 2 (USA) (Rev A);Nintendo 64;;2000;Capcom;Adventure;4;;;;;;;;
Road Rash 64 (USA);Road Rash 64 (USA);Nintendo 64;;1999;THQ;Motorcycle;;;;;;;;;
"Roadsters Trophy (USA) (En,Fr,Es)";"Roadsters Trophy (USA) (En,Fr,Es)";Nintendo 64;;1999;Titus Software;Driving;2;;;;;;;;
Robotron 64 (USA);Robotron 64 (USA);Nintendo 64;;1998;Crave;Action;1;;;;;;;;
Rocket - Robot on Wheels (USA);Rocket - Robot on Wheels (USA);Nintendo 64;;1999;Ubisoft;Platform;4;;;;;;;;
Rugrats - Scavenger Hunt (USA);Rugrats - Scavenger Hunt (USA);Nintendo 64;;1999;THQ;Board Games;4;;;;;;;;
Rugrats in Paris - The Movie (USA);Rugrats in Paris - The Movie (USA);Nintendo 64;;2000;THQ;Platform;2;;;;;;;;
Rush 2 - Extreme Racing USA (USA);Rush 2 - Extreme Racing USA (USA);Nintendo 64;;1998;Midway;Driving;4;;;;;;;;
S.C.A.R.S. (USA);S.C.A.R.S. (USA);Nintendo 64;;1998;Ubisoft;Driving;2;;;;;;;;
"San Francisco Rush - Extreme Racing (USA) (En,Fr,De)";"San Francisco Rush - Extreme Racing (USA) (En,Fr,De)";Nintendo 64;;1997;Midway;Driving;4;;;;;;;;
San Francisco Rush 2049 (USA);San Francisco Rush 2049 (USA);Nintendo 64;;2000;Midway;Driving;1;;;;;;;;
Scooby-Doo! - Classic Creep Capers (USA);Scooby-Doo! - Classic Creep Capers (USA);Nintendo 64;;2001;THQ;Adventure;1;;;;;;;;
Shadow Man (USA);Shadow Man (USA);Nintendo 64;;1999;Acclaim;Adventure;1;;;;;;;;
"Shadowgate 64 - Trials of the Four Towers (USA) (En,Es)";"Shadowgate 64 - Trials of the Four Towers (USA) (En,Es)";Nintendo 64;;1999;Kemco;Adventure;4;;;;;;;;
Snowboard Kids (USA);Snowboard Kids (USA);Nintendo 64;;1998;Atlus Co.;Snowboarding/Sports;2;;;;;;;;
Snowboard Kids 2 (USA);Snowboard Kids 2 (USA);Nintendo 64;;1999;Atlus Co.;Snowboarding/Sports;4;;;;;;;;
South Park (USA);South Park (USA);Nintendo 64;;1998;Acclaim;Shooter;4;;;;;;;;
South Park - Chef's Luv Shack (USA);South Park - Chef's Luv Shack (USA);Nintendo 64;;1999;Acclaim;Party;4;;;;;;;;
South Park Rally (USA);South Park Rally (USA);Nintendo 64;;2000;Acclaim;Driving;2;;;;;;;;
Space Invaders (USA);Space Invaders (USA);Nintendo 64;;1999;Activision;Shoot-'Em-Up;1;;;;;;;;
SpaceStation Silicon Valley (USA);SpaceStation Silicon Valley (USA);Nintendo 64;;1998;Take-Two Interactive;Platform;1;;;;;;;;
Spider-Man (USA);Spider-Man (USA);Nintendo 64;;2000;Activision;Adventure;4;;;;;;;;
Star Fox 64 (USA) (Rev A);Star Fox 64 (USA) (Rev A);Nintendo 64;;1997;Nintendo;Shoot-'Em-Up;1;;;;;;;;
