#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
"Bust-A-Move 2 - Arcade Edition (USA, Europe)";"Bust-A-Move 2 - Arcade Edition (USA, Europe)";Nintendo Game Boy;;1998;Acclaim;Puzzle;1;;;;;;;;
Bust-A-Move 3 DX (Europe);Bust-A-Move 3 DX (Europe);Nintendo Game Boy;;1998;Taito Corporation;Puzzle;;;;;;;;;
Buster Bros. (USA);Buster Bros. (USA);Nintendo Game Boy;;1993;Hudson;Action;;;;;;;;;
Caesars Palace (USA);Caesars Palace (USA);Nintendo Game Boy;;1991;Arcadia Systems;Casino;;;;;;;;;
Caesars Palace (USA) (Rev A);Caesars Palace (USA) (Rev A);Nintendo Game Boy;;1991;Arcadia Systems;Casino;;;;;;;;;
Captain America and the Avengers (USA);Captain America and the Avengers (USA);Nintendo Game Boy;;1994;Mindscape Inc.;Action;1;;;;;;;;
Captain Knick-Knack (Asia) (Unl);Captain Knick-Knack (Asia) (Unl);Nintendo Game Boy;;1999;Sachen;Action;;;;;;;;;
Captain Tsubasa J - Zenkoku Seiha e no Chousen (Japan);Captain Tsubasa J - Zenkoku Seiha e no Chousen (Japan);Nintendo Game Boy;;1995;Bandai;Sports/Soccer;;;;;;;;;
Card Game (Japan);Card Game (Japan);Nintendo Game Boy;;1990;Coconuts Japan;Casino;;;;;;;;;
"Casino FunPak (USA, Europe)";"Casino FunPak (USA, Europe)";Nintendo Game Boy;;1995;Interplay;Strategy;1;;;;;;;;
Casper (USA);Casper (USA);Nintendo Game Boy;;1996;Natsume;Action;1;;;;;;;;
Castelian (USA);Castelian (USA);Nintendo Game Boy;;1991;Triffix;Puzzle;;;;;;;;;
Castle Quest (Europe);Castle Quest (Europe);Nintendo Game Boy;;1993;Hudson;Strategy;;;;;;;;;
Castlevania - The Adventure (USA);Castlevania - The Adventure (USA);Nintendo Game Boy;;1989;Konami;Platform;1;;;;;;;;
"Castlevania Adventure, The (USA)";"Castlevania Adventure, The (USA)";Nintendo Game Boy;;1989;Konami;Platform;;;;;;;;;
"Castlevania II - Belmont's Revenge (USA, Europe)";"Castlevania II - Belmont's Revenge (USA, Europe)";Nintendo Game Boy;;1991;Konami;Platform;1;;;;;;;;
"Castlevania Legends (USA, Europe)";"Castlevania Legends (USA, Europe)";Nintendo Game Boy;;1998;Konami;Platform;1;;;;;;;;
Catrap (USA);Catrap (USA);Nintendo Game Boy;;1990;"Asmik Ace Entertainment, Inc";Puzzle;;;;;;;;;
Cave Noire (Japan) (Translated En);Cave Noire (Japan) (Translated En);Nintendo Game Boy;;1991;Konami;Role-Playing;;;;;;;;;
"Centipede (USA, Europe)";"Centipede (USA, Europe)";Nintendo Game Boy;;1992;Accolade;Shooter;2;;;;;;;;
Chachamaru Panic (Japan);Chachamaru Panic (Japan);Nintendo Game Boy;;1991;Human Entertainment;Action;;;;;;;;;
Chalvo 55 - Super Puzzle Action (Japan) (Translated En);Chalvo 55 - Super Puzzle Action (Japan) (Translated En);Nintendo Game Boy;;1997;Japan System Supply;Puzzle;;;;;;;;;
Championship Pool (USA);Championship Pool (USA);Nintendo Game Boy;;1993;Mindscape Inc.;Sports/Pool and Dart;1;;;;;;;;
