#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
"Fish Files, The (Europe)";"Fish Files, The (Europe)";Nintendo Game Boy Color;;2001;7th Sense;Action;;;;;;;;;
Fix & Foxi - Episode 1 Lupo (Europe);Fix & Foxi - Episode 1 Lupo (Europe);Nintendo Game Boy Color;;2000;Ravensburger Interactive;Platform;;;;;;;;;
"Flintstones, The - Burgertime in Bedrock (USA)";"Flintstones, The - Burgertime in Bedrock (USA)";Nintendo Game Boy Color;;2001;Electro Source;Action;;;;;;;;;
Flipper & Lopaka (Europe);Flipper & Lopaka (Europe);Nintendo Game Boy Color;;2001;Planet Interactive;Action;;;;;;;;;
Force 21 (USA);Force 21 (USA);Nintendo Game Boy Color;;2000;Red Storm Entertainment;Action;1;;;;;;;;
Formula One 2000 (USA);Formula One 2000 (USA);Nintendo Game Boy Color;;2000;Take-Two Interactive;Driving;;;;;;;;;
Fort Boyard (Europe);Fort Boyard (Europe);Nintendo Game Boy Color;;2001;Titus Software;Action;1;;;;;;;;
Frogger (USA) (Rev B);Frogger (USA) (Rev B);Nintendo Game Boy Color;;1998;Majesco Games;Action;2;;;;;;;;
Frogger 2 (USA);Frogger 2 (USA);Nintendo Game Boy Color;;2000;Majesco Games;Action;1;;;;;;;;
Galaga - Destination Earth (USA);Galaga - Destination Earth (USA);Nintendo Game Boy Color;;2000;Hasbro Interactive;Shoot-'Em-Up;;;;;;;;;
"Game & Watch Gallery 2 (USA, Europe)";"Game & Watch Gallery 2 (USA, Europe)";Nintendo Game Boy Color;;1998;Nintendo;Mini-Games;1;;;;;;;;
"Game & Watch Gallery 3 (USA, Europe)";"Game & Watch Gallery 3 (USA, Europe)";Nintendo Game Boy Color;;1999;Nintendo;Mini-Games;2;;;;;;;;
"Gex - Enter the Gecko (USA, Europe)";"Gex - Enter the Gecko (USA, Europe)";Nintendo Game Boy Color;;1998;Crave;Platform;1;;;;;;;;
Gex 3 - Deep Pocket Gecko (USA);Gex 3 - Deep Pocket Gecko (USA);Nintendo Game Boy Color;;1999;Eidos Interactive;Platform;1;;;;;;;;
"Ghosts'n Goblins (USA, Europe)";"Ghosts'n Goblins (USA, Europe)";Nintendo Game Boy Color;;2000;Capcom;Platform;1;;;;;;;;
Gift (Europe);Gift (Europe);Nintendo Game Boy Color;;2001;Cryo Interactive;Action;1;;;;;;;;
Gobs of Games (USA);Gobs of Games (USA);Nintendo Game Boy Color;;2000;3DO;Party;;;;;;;;;
Godzilla - The Series (USA);Godzilla - The Series (USA);Nintendo Game Boy Color;;1999;Crave;Action;1;;;;;;;;
Godzilla - The Series - Monster Wars (USA);Godzilla - The Series - Monster Wars (USA);Nintendo Game Boy Color;;2000;Crave;Action;1;;;;;;;;
Gold and Glory - The Road to El Dorado (USA);Gold and Glory - The Road to El Dorado (USA);Nintendo Game Boy Color;;2000;Ubisoft;Action;1;;;;;;;;
Golden Goal (Europe);Golden Goal (Europe);Nintendo Game Boy Color;;1999;Take-Two Interactive;Sports/Soccer;;;;;;;;;
Grand Theft Auto (USA);Grand Theft Auto (USA);Nintendo Game Boy Color;;1999;Rockstar Games;Adventure;1;;;;;;;;
Grand Theft Auto 2 (USA);Grand Theft Auto 2 (USA);Nintendo Game Boy Color;;2000;Rockstar Games;Adventure;1;;;;;;;;
Gremlins Unleashed (Europe);Gremlins Unleashed (Europe);Nintendo Game Boy Color;;2001;LSP;Action;;;;;;;;;
"Grinch, The (USA)";"Grinch, The (USA)";Nintendo Game Boy Color;;2000;Konami;Action;1;;;;;;;;
Halloween Racer (Europe);Halloween Racer (Europe);Nintendo Game Boy Color;;1999;Microids;Action;;;;;;;;;
Hamtaro - Ham-Hams Unite! (USA);Hamtaro - Ham-Hams Unite! (USA);Nintendo Game Boy Color;;2002;Nintendo;Role-Playing;;;;;;;;;
Hands of Time (USA);Hands of Time (USA);Nintendo Game Boy Color;;2001;Titus Software;Action;;;;;;;;;
Harley-Davidson Motor Cycles - Race Across America (USA);Harley-Davidson Motor Cycles - Race Across America (USA);Nintendo Game Boy Color;;2000;Wizard Works;Driving;;;;;;;;;
"Harry Potter and the Chamber of Secrets (USA, Europe)";"Harry Potter and the Chamber of Secrets (USA, Europe)";Nintendo Game Boy Color;;2002;Electronic Arts;Adventure;2;;;;;;;;
"Harry Potter and the Sorcerer's Stone (USA, Europe)";"Harry Potter and the Sorcerer's Stone (USA, Europe)";Nintendo Game Boy Color;;2001;Electronic Arts;Adventure;1;;;;;;;;
Harvest Moon 2 GBC (USA);Harvest Moon 2 GBC (USA);Nintendo Game Boy Color;;2000;Natsume;Strategy;;;;;;;;;
Harvest Moon 3 GBC (USA);Harvest Moon 3 GBC (USA);Nintendo Game Boy Color;;2001;Natsume;Strategy;1;;;;;;;;
Harvest Moon GB (USA);Harvest Moon GB (USA);Nintendo Game Boy Color;;1998;Natsume;Strategy;2;;;;;;;;
Hello Kitty's Cube Frenzy (USA);Hello Kitty's Cube Frenzy (USA);Nintendo Game Boy Color;;1999;NewKidCo;Puzzle;;;;;;;;;
Hercules - The Legendary Journeys (Europe);Hercules - The Legendary Journeys (Europe);Nintendo Game Boy Color;;2002;Titus Software;Role-Playing;;;;;;;;;
Heroes of Might and Magic (USA);Heroes of Might and Magic (USA);Nintendo Game Boy Color;;2000;3DO;Strategy;1;;;;;;;;
Heroes of Might and Magic II (USA);Heroes of Might and Magic II (USA);Nintendo Game Boy Color;;2000;3DO;Strategy;1;;;;;;;;
"Hexcite - The Shapes of Victory (USA, Europe)";"Hexcite - The Shapes of Victory (USA, Europe)";Nintendo Game Boy Color;;1999;Ubisoft;Puzzle;2;;;;;;;;
Hole In One Golf (USA);Hole In One Golf (USA);Nintendo Game Boy Color;;1999;Natsume;Sports;2;;;;;;;;
Hollywood Pinball (Europe);Hollywood Pinball (Europe);Nintendo Game Boy Color;;1999;Starfish;Pinball;;;;;;;;;
Hot Wheels - Stunt Track Driver (USA);Hot Wheels - Stunt Track Driver (USA);Nintendo Game Boy Color;;2000;Mattel;Driving;2;;;;;;;;
