#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
"Incredibles, The (USA)";"Incredibles, The (USA)";Sony PlayStation 2;;2004;Heavy Iron Studios;Action;1;;;;;;;;
"Incredibles, The - Rise of the Underminer (USA)";"Incredibles, The - Rise of the Underminer (USA)";Sony PlayStation 2;;2005;Heavy Iron Studios;Platform;2;;;;;;;;
Indiana Jones and the Emperor's Tomb (USA);Indiana Jones and the Emperor's Tomb (USA);Sony PlayStation 2;;2003;LucasArts;Action;1;;;;;;;;
Indiana Jones and the Staff of Kings (USA);Indiana Jones and the Staff of Kings (USA);Sony PlayStation 2;;2009;LucasArts;Action;1;;;;;;;;
Indigo Prophecy (USA);Indigo Prophecy (USA);Sony PlayStation 2;;2005;Quantic Dream;Adventure;1;;;;;;;;
IndyCar Series (USA);IndyCar Series (USA);Sony PlayStation 2;;2003;Codemasters;Driving;2;;;;;;;;
IndyCar Series 2005 (Europe);IndyCar Series 2005 (Europe);Sony PlayStation 2;;2004;Codemasters;Driving;2;;;;;;;;
Innocent Life - A Futuristic Harvest Moon (USA);Innocent Life - A Futuristic Harvest Moon (USA);Sony PlayStation 2;;2008;ArtePiazza;Strategy;1;;;;;;;;
Inspector Gadget - Mad Robots Invasion (Europe);Inspector Gadget - Mad Robots Invasion (Europe);Sony PlayStation 2;;2003;Silmarils;Platform;1;;;;;;;;
Intellivision Lives! (USA);Intellivision Lives! (USA);Sony PlayStation 2;;2003;Realtime Associates;Compilation;6;;;;;;;;
International Cricket Captain III (Europe);International Cricket Captain III (Europe);Sony PlayStation 2;;2007;Empire Interactive;Sports/Cricket;;;;;;;;;
International Cue Club 2 (Europe);International Cue Club 2 (Europe);Sony PlayStation 2;;2005;Midas Interactive Entertainment;Sports/Pool and Dart;;;;;;;;;
International Golf Pro (Europe);International Golf Pro (Europe);Sony PlayStation 2;;2004;Aqua Pacific;Sports/Golf;4;;;;;;;;
International Pool Championship (Europe);International Pool Championship (Europe);Sony PlayStation 2;;2003;Play It!;Sports/Pool and Dart;;;;;;;;;
International Snooker Championship (Europe);International Snooker Championship (Europe);Sony PlayStation 2;;2004;Play It!;Sports/Pool and Dart;;;;;;;;;
International Super Karts (Europe);International Super Karts (Europe);Sony PlayStation 2;;2005;Midas Interactive Entertainment;Driving;;;;;;;;;
International Superstar Soccer (Europe);International Superstar Soccer (Europe);Sony PlayStation 2;;2000;Konami;Sports/Soccer;2;;;;;;;;
International Superstar Soccer 2 (Europe);International Superstar Soccer 2 (Europe);Sony PlayStation 2;;2002;Konami;Sports/Soccer;2;;;;;;;;
International Superstar Soccer 3 (Europe);International Superstar Soccer 3 (Europe);Sony PlayStation 2;;2003;KCEO;Sports/Soccer;2;;;;;;;;
International Tennis Pro (Europe);International Tennis Pro (Europe);Sony PlayStation 2;;2007;Aqua Pacific;Sports/Tennis;;;;;;;;;
Inuyasha - Feudal Combat (USA);Inuyasha - Feudal Combat (USA);Sony PlayStation 2;;2005;Eighting;Fighter;;;;;;;;;
Inuyasha - The Secret of the Cursed Mask (USA);Inuyasha - The Secret of the Cursed Mask (USA);Sony PlayStation 2;;2004;Kamui;Role-Playing;1;;;;;;;;
Iridium Runners (USA);Iridium Runners (USA);Sony PlayStation 2;;2008;Playstos Entertainment;Driving;2;;;;;;;;
Iron Aces 2 - Birds of Prey (Europe);Iron Aces 2 - Birds of Prey (Europe);Sony PlayStation 2;;2002;Opera House;Simulation;1;;;;;;;;
