#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
Cheese Cat-Astrophe Starring Speedy Gonzales (Europe);Cheese Cat-Astrophe Starring Speedy Gonzales (Europe);Sega Genesis;;1995;Time Warner Interactive;Platform;1;;;;;;;;
Chester Cheetah - Too Cool to Fool (USA);Chester Cheetah - Too Cool to Fool (USA);Sega Genesis;;1992;Kaneko;Platform;1;;;;;;;;
Chester Cheetah - Wild Wild Quest (USA);Chester Cheetah - Wild Wild Quest (USA);Sega Genesis;;1992;Kaneko;Platform;1;;;;;;;;
Chi Chi's Pro Challenge Golf (USA);Chi Chi\'s Pro Challenge Golf (USA);Sega Genesis;;1993;Coconuts Japan;Sports/Golf;4;;;;;;;;
"Chiki Chiki Boys (USA, Europe)";"Chiki Chiki Boys (USA, Europe)";Sega Genesis;;1993;Capcom;Platform;1;;;;;;;;
Chuck Rock (USA);Chuck Rock (USA);Sega Genesis;;1992;Core Design;Platform;1;;;;;;;;
Chuck Rock II - Son of Chuck (USA);Chuck Rock II - Son of Chuck (USA);Sega Genesis;;1993;Core Design;Platform;1;;;;;;;;
Classic Collection (Europe);Classic Collection (Europe);Sega Genesis;;1994;Sega;Miscellaneous;2;;;;;;;;
Clay Fighter (USA);Clay Fighter (USA);Sega Genesis;;1994;Visual Concepts;Fighter;2;;;;;;;;
Cliffhanger (USA);Cliffhanger (USA);Sega Genesis;;1993;Malibu;Beat-'Em-Up;1;;;;;;;;
Clue (USA);Clue (USA);Sega Genesis;;1992;Sculptured Software;Board Games;6;;;;;;;;
Coach K College Basketball (USA);Coach K College Basketball (USA);Sega Genesis;;1995;Electronic Arts;Sports/Basketball;4;;;;;;;;
College Football USA 96 (USA);College Football USA 96 (USA);Sega Genesis;;1995;High Score Productions;Sports/Football;4;;;;;;;;
College Football USA 97 (USA);College Football USA 97 (USA);Sega Genesis;;1996;EA Tiburon;Sports/Football;4;;;;;;;;
College Football's National Championship (USA);College Football\'s National Championship (USA);Sega Genesis;;1994;Bluesky Innovations;Sports/Football;4;;;;;;;;
College Football's National Championship II (USA);College Football\'s National Championship II (USA);Sega Genesis;;1995;Bluesky Innovations;Sports/Football;4;;;;;;;;
College Slam (USA);College Slam (USA);Sega Genesis;;1996;Iguana Entertainment;Sports/Basketball;4;;;;;;;;
Columns (World) (v1.1);Columns (World) (v1.1);Sega Genesis;;1990;Sega;Puzzle;2;;;;;;;;
Columns III - Revenge of Columns (USA);Columns III - Revenge of Columns (USA);Sega Genesis;;1993;Vic Tokai;Puzzle;5;;;;;;;;
"Combat Cars (USA, Europe)";"Combat Cars (USA, Europe)";Sega Genesis;;1994;Accolade;Driving;2;;;;;;;;
Comix Zone (USA);Comix Zone (USA);Sega Genesis;;1995;Sega;Beat-'Em-Up;1;;;;;;;;
"Contra - Hard Corps (USA, Korea)";"Contra - Hard Corps (USA, Korea)";Sega Genesis;;1994;Konami;Shooter;2;;;;;;;;
Cool Spot (USA);Cool Spot (USA);Sega Genesis;;1994;Virgin Interactive;Platform;1;;;;;;;;
"Cosmic Spacehead (USA, Europe)";"Cosmic Spacehead (USA, Europe)";Sega Genesis;;1993;Codemasters;Adventure;2;;;;;;;;
Crack Down (USA);Crack Down (USA);Sega Genesis;;1991;Sega;Platform;2;;;;;;;;
Cross Fire (USA);Cross Fire (USA);Sega Genesis;;1991;AI;Shooter;1;;;;;;;;
"Crue Ball - Heavy Metal Pinball (USA, Europe)";"Crue Ball - Heavy Metal Pinball (USA, Europe)";Sega Genesis;;1992;NuFX;Pinball;4;;;;;;;;
Crusader of Centy (USA);Crusader of Centy (USA);Sega Genesis;;1994;NexTech;Role-Playing;1;;;;;;;;
Crystal's Pony Tale (USA);Crystal\'s Pony Tale (USA);Sega Genesis;;1994;Artech Studios;Platform;1;;;;;;;;
"CutThroat Island (USA, Europe)";"CutThroat Island (USA, Europe)";Sega Genesis;;1995;Software Creations;Platform;2;;;;;;;;
Cyber-Cop (USA);Cyber-Cop (USA);Sega Genesis;;1990;Tengen;Sports;;;;;;;;;
CyberBall (World);CyberBall (World);Sega Genesis;;1992;Core Design;Platform;2;;;;;;;;
"Cyborg Justice (USA, Europe)";"Cyborg Justice (USA, Europe)";Sega Genesis;;1993;Novotrade;Beat-'Em-Up;2;;;;;;;;
DJ Boy (USA);DJ Boy (USA);Sega Genesis;;1990;Kaneko;Beat-'Em-Up;;;;;;;;;
Daffy Duck in Hollywood (Europe);Daffy Duck in Hollywood (Europe);Sega Genesis;;1994;Probe Entertainment;Action;1;;;;;;;;
"Dark Castle (USA, Europe)";"Dark Castle (USA, Europe)";Sega Genesis;;1991;Artech Studios;Platform;1;;;;;;;;
Dashin' Desperadoes (USA);Dashin\' Desperadoes (USA);Sega Genesis;;1993;Data East;Driving;2;;;;;;;;
David Crane's Amazing Tennis (USA);David Crane\'s Amazing Tennis (USA);Sega Genesis;;1992;Absolute Entertainment;Sports/Tennis;2;;;;;;;;
"David Robinson's Supreme Court (USA, Europe)";"David Robinson\'s Supreme Court (USA, Europe)";Sega Genesis;;1992;Sega;Sports/Basketball;2;;;;;;;;
"Davis Cup Tennis (USA, Europe)";"Davis Cup Tennis (USA, Europe)";Sega Genesis;;1993;Loriciels;Sports/Tennis;2;;;;;;;;
Deadly Moves (USA);Deadly Moves (USA);Sega Genesis;;1992;Kaneko;Fighter;2;;;;;;;;
Death Duel (USA);Death Duel (USA);Sega Genesis;;1992;Razorsoft;Platform;1;;;;;;;;
"Death and Return of Superman, The (USA)";"Death and Return of Superman, The (USA)";Sega Genesis;;1995;Blizzard Entertainment;Beat-'Em-Up;1;;;;;;;;
"DecapAttack (USA, Europe)";"DecapAttack (USA, Europe)";Sega Genesis;;1991;Sega;Platform;1;;;;;;;;
"Demolition Man (USA, Europe)";"Demolition Man (USA, Europe)";Sega Genesis;;1995;Alexandria;Platform;1;;;;;;;;
"Desert Demolition Starring Road Runner and Wile E. Coyote (USA, Europe)";"Desert Demolition Starring Road Runner and Wile E. Coyote (USA, Europe)";Sega Genesis;;1994;Bluesky Innovations;Platform;1;;;;;;;;
"Desert Strike - Return To The Gulf (USA, Europe)";"Desert Strike - Return To The Gulf (USA, Europe)";Sega Genesis;;1994;Electronic Arts;Platform;1;;;;;;;;
Devilish - The Next Possession (USA);Devilish - The Next Possession (USA);Sega Genesis;;1992;Aisystem Tokyo;Platform;2;;;;;;;;
Dick Tracy (World);Dick Tracy (World);Sega Genesis;;1990;Sega;Platform;1;;;;;;;;
"Dick Vitale's 'Awesome, Baby!' College Hoops (USA)";"Dick Vitale\'s \'Awesome, Baby!\' College Hoops (USA)";Sega Genesis;;1994;Time Warner Interactive;Sports/Basketball;2;;;;;;;;
Dino Dini's Soccer (Europe);Dino Dini\'s Soccer (Europe);Sega Genesis;;1994;Dini and Dini Productions;Sports/Soccer;8;;;;;;;;
Dino Land (USA);Dino Land (USA);Sega Genesis;;1991;Wolf Team;Pinball;2;;;;;;;;
"Dinosaur's Tale, A (USA)";"Dinosaur\'s Tale, A (USA)";Sega Genesis;;1993;Malibu;Shooter;1;;;;;;;;
Dinosaurs for Hire (USA);Dinosaurs for Hire (USA);Sega Genesis;;1993;Funcom;Platform;;;;;;;;;
"Disney Collection, The (Europe)";"Disney Collection, The (Europe)";Sega Genesis;;1996;Disney Interactive;Miscellaneous;;;;;;;;;
